,issue_id,td
1183,320316,0
1184,49214,0
1185,524087,0
1186,563571,0
1187,173995,0
1188,401520,0
1189,4701,0
1190,640092,0
1191,507849,0
1192,127498,0
1193,79491,0
1194,546973,0
1195,269287,0
1196,436335,0
1197,705056,0
1198,352635,0
1199,552591,0
1200,582254,0
1201,618708,0
1202,597486,0
1203,306140,0
1204,402365,0
1205,254205,0
1206,690176,0
1207,338936,0
1208,365923,0
1209,45505,0
1210,681267,0
1211,163268,0
1212,426561,0
1213,44897,0
1214,641792,0
1215,371628,0
1216,382832,0
1217,146451,0
1218,703477,0
1219,664701,0
1220,425466,0
1221,434980,0
1222,497103,0
1223,120202,0
1224,386218,0
1225,391972,0
1226,664669,0
1227,380031,0
1228,133218,0
1229,126513,0
1230,178801,0
1231,422465,0
1232,438070,0
1233,132164,0
1234,273227,0
1235,476428,0
1236,276579,0
1237,154853,0
1238,169025,0
1239,476747,0
1240,652260,0
1241,193478,0
1242,150601,0
1243,686215,0
1244,96127,0
1245,225029,0
1246,392303,0
1247,368961,0
1248,102945,0
1249,98010,0
1250,503828,0
1251,183253,0
1252,279323,0
1253,532296,0
1254,291192,0
1255,249848,0
1256,172235,0
1257,436204,0
1258,667468,0
1259,41718,0
1260,119237,0
1261,436445,0
1262,239823,0
1263,468021,0
1264,469157,0
1265,462161,0
1266,155748,0
1267,669235,0
1268,75112,0
1269,236673,0
1270,126673,0
1271,392033,0
1272,215265,0
1273,61733,0
1274,547525,0
1275,614181,0
1276,387848,0
1277,523110,0
1278,369365,0
1279,183495,0
1280,638626,0
1281,538726,0
1282,674829,0
1283,94088,0
1284,322549,0
1285,509380,0
1286,291276,0
1287,709492,0
1288,96121,0
1289,433222,0
1290,633460,0
1291,188202,0
1292,330430,0
1293,689840,0
1294,234729,0
1295,282672,0
1296,451054,0
1297,523921,0
1298,414264,0
1299,135335,0
1300,388067,0
1301,542640,0
1302,480719,0
1303,90164,0
1304,3472,0
1305,644892,0
1306,686221,0
1307,457667,0
1308,293223,0
1309,287785,0
1310,140490,0
1311,210190,0
1312,416029,0
1313,354946,0
1314,699101,0
1315,166359,0
1316,668624,0
1317,357701,0
1318,87320,0
1319,705669,0
1320,145118,0
1321,579799,0
1322,82380,0
1323,69062,0
1324,505276,0
1325,530680,0
1326,96973,0
1327,303034,0
1328,294413,0
1329,146224,0
1330,547949,0
1331,569683,0
1332,632112,0
1333,540844,0
1334,171875,0
1335,613410,0
1336,97489,0
1337,243407,0
1338,327520,0
1339,532378,0
1340,25588,0
1341,182197,0
1342,517217,0
1343,356547,0
1344,329551,0
1345,591131,0
1346,462640,0
1347,213578,0
1348,278196,0
1349,599920,0
1350,436109,0
1351,369809,0
1352,447133,0
1353,499178,0
1354,120700,0
1355,513766,0
1356,345260,0
1357,561470,0
1358,271636,0
1359,346587,0
1360,379009,0
1361,98094,0
1362,506436,0
1363,352010,0
1364,27728,0
1365,99577,0
1366,482252,0
1367,534167,0
1368,574568,0
1369,228922,0
1370,98029,0
1371,404045,0
1372,100972,0
1373,520958,0
1374,192041,0
1375,381489,0
1376,164377,0
1377,665470,0
1378,87790,0
1379,22646,0
1380,422613,0
1381,281026,0
1382,590218,0
1383,464487,0
1384,58347,0
1385,107618,0
1386,357629,0
1387,400775,0
1388,398342,0
1389,299777,0
1390,267459,0
1391,120689,0
1392,271295,0
1393,249053,0
1394,318197,0
1395,373343,0
1396,307481,0
1397,226518,0
1398,269674,0
1399,214887,0
1400,608702,0
1401,112290,0
1402,355038,0
1403,134821,0
1404,503767,0
1405,247212,0
1406,265326,0
1407,338585,0
1408,512536,0
1409,94437,0
1410,344737,0
1411,402994,0
1412,140967,0
1413,412455,0
1414,99649,0
1415,167341,0
1416,8395,0
1417,582258,0
1418,58190,0
1419,243506,0
1420,386733,0
1421,328719,0
1422,411572,0
1423,590026,0
1424,117504,0
1425,8504,0
1426,622848,0
1427,5916,0
1428,445218,0
1429,446267,0
1430,407782,0
1431,508989,0
1432,610814,0
1433,170807,0
1434,585968,0
1435,94992,0
1436,231634,0
1437,190637,0
1438,564252,0
1439,310327,0
1440,577304,0
1441,326884,0
1442,129680,0
1443,140997,0
1444,17397,0
1445,530095,0
1446,267823,0
1447,285966,0
1448,508645,0
1449,176895,0
1450,402079,0
1451,361583,0
1452,566091,0
1453,298143,0
1454,306581,0
1455,673224,0
1456,380244,0
1457,135503,0
1458,345138,0
1459,605932,0
1460,415348,0
1461,215759,0
1462,23837,0
1463,340757,0
1464,179646,0
1465,295861,0
1466,359966,0
1467,342504,0
1468,131676,0
1469,616763,0
1470,606853,0
1471,498782,0
1472,72171,0
1473,46126,0
1474,120829,0
1475,649717,0
1476,633973,0
1477,411564,0
1478,29504,0
1479,558298,0
1480,631554,0
1481,161422,0
1482,9376,0
1483,138910,0
1484,504216,0
1485,202954,0
1486,368373,0
