,issue_id,td
1356,345260,0
1357,561470,0
1358,271636,0
1359,346587,0
1360,379009,0
1361,98094,0
1362,506436,0
1363,352010,0
1364,27728,0
1365,99577,0
1366,482252,0
1367,534167,0
1368,574568,0
1369,228922,0
1370,98029,0
1371,404045,0
1372,100972,0
1373,520958,0
1374,192041,0
1375,381489,0
1376,164377,0
1377,665470,0
1378,87790,0
1379,22646,0
1380,422613,0
1381,281026,0
1382,590218,0
1383,464487,0
1384,58347,0
1385,107618,0
1386,357629,0
1387,400775,0
1388,398342,0
1389,299777,0
1390,267459,0
1391,120689,0
1392,271295,0
1393,249053,0
1394,318197,0
1395,373343,0
1396,307481,0
1397,226518,0
1398,269674,0
1399,214887,0
1400,608702,0
1401,112290,0
1402,355038,0
1403,134821,0
1404,503767,0
1405,247212,0
1406,265326,0
1407,338585,0
1408,512536,0
1409,94437,0
1410,344737,0
1411,402994,0
1412,140967,0
1413,412455,0
1414,99649,0
1415,167341,0
1416,8395,0
1417,582258,0
1418,58190,0
1419,243506,0
1420,386733,0
1421,328719,0
1422,411572,0
1423,590026,0
1424,117504,0
1425,8504,0
1426,622848,0
1427,5916,0
1428,445218,0
1429,446267,0
1430,407782,0
1431,508989,0
1432,610814,0
1433,170807,0
1434,585968,0
1435,94992,0
1436,231634,0
1437,190637,0
1438,564252,0
1439,310327,0
1440,577304,0
1441,326884,0
1442,129680,0
1443,140997,0
1444,17397,0
1445,530095,0
1446,267823,0
1447,285966,0
1448,508645,0
1449,176895,0
1450,402079,0
1451,361583,0
1452,566091,0
1453,298143,0
1454,306581,0
1455,673224,0
1456,380244,0
1457,135503,0
1458,345138,0
1459,605932,0
1460,415348,0
1461,215759,0
1462,23837,0
1463,340757,0
1464,179646,0
1465,295861,0
1466,359966,0
1467,342504,0
1468,131676,0
1469,616763,0
1470,606853,0
1471,498782,0
1472,72171,0
1473,46126,0
1474,120829,0
1475,649717,0
1476,633973,0
1477,411564,0
1478,29504,0
1479,558298,0
1480,631554,0
1481,161422,0
1482,9376,0
1483,138910,0
1484,504216,0
1485,202954,0
1486,368373,0
