Move FutureUtils to core moved FutureUtils into flink-core. It appears that we forgot to move the corresponding tests.master:,1
"Refactor Core Options parent-first patterns to List options , may I volunteer and work on this issue? Hi, I have raised a PR for this refactoring, could you please take a look? will you be able to help review this PR? Merged via:",1
"Reduce code duplication in AbstractYarnClusterDescriptor Can anyone assign this ticket to me? This issue and all of its Sub-Tasks have not been updated for 180 days. So, it has been labeled ""stale-minor"". If you are still affected by this bug or are still interested in this issue, please give an update and remove the label. In 7 days the issue will be closed automatically.This issue has been labeled ""stale-minor"" for 7 days. It is closed now. If you are still affected by this or would like to raise the priority of this ticket please re-open, removing the label ""auto-closed"" and raise the ticket priority accordingly. Re-opening in accordance with",1
"Running HA per-job cluster (rocks, non-incremental) end-to-end test could not finished in 900 seconds I am the Flink Jira Bot and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 30 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.This issue was labeled ""stale-major"" 7 ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion. In the logs it looks as if the last running TaskExecutor is killed for some reason other than the common_ha.sh#ha_tm_watchdog. That's also why no new TaskExecutor gets started. Maybe we can harden the common_ha. sh#ha_tm_watchdog by not requiring that the number of expected TMs runs before starting a new one but also starting new TaskExecutors if the number of TMs is below the expected number. Fixed via
",1
"Kafka At-Least-Once related IT cases are not activatedI've tried reactivating the two cases and they work fine for me locally. Maybe   can also share some insights, as one of the original contributors of? Fixed via",1
Add assertj as dependency in flink-parentmaster,1
Allow calls to @VisibleForTesting from inner classesmaster,1
"Disable shading of test jars by default  do you have an idea what could cause this problem? When executing compile.sh locally, I could not reproduce the problem. However, when building flink-kubernetes, then I can create a test jar that contains classes and other things which could make the JarFileChecker fail. It's interesting that this only fails on Java 11. It is probably related to the shade-plugin bump in.",1
Distributed e2e tests across 2 profilesmaster,1
"Document new File formatsarvid can you assign the ticket to me please? Done thanks for taking care. thanks, my pleasure! I took a look at hive and orc new formats for documenting them and I realized that the factories are for table environment even constructors expect table parameters. Are they really intended/ready to be used with DataStream api? Or did I miss something? You are right that they currently cannot be used in DataStream. That was something that we originally planned for 1.15 but that has been pushed back. Resolved in master. Make new formats name coherent. document text file reading. document parquet file reading. Address review comments. Merged into as. Renaming was breaking API in 1.14 and master. partially reverted in. Master amended in",1
Update JUnit5 to v5.8.1affe Feel free to also review the PR for this. Merged in master.,1
Bump Powermock to v2.0.9 Merged in master,1
Bump maven-dependency-plugin to 3.2.0 master,1
Update nifi-site-to-site-client to v1.14.0 Merged in master,1
Bump com.rabbitmq:amqp-client to v5.13.1cmick Would it also make sense to also pick up this one if you're going to work on the RabbitMQ test stability too? Merged in master:,1
Bump commons-cli to v1.5.0 Merged into master ,1
Exclude javadocs / node[_modules] directories from CI compile artifactmaster: ,1
Bump test dependencies mariadb-java-client to 2.7.4 and mysql-connector-java to 8.0.27 Merged in master,1
"Document solution for 'sun.misc doesn't exist' error with JDK 11Works just fine for me. I'd recommend to re-import the project.Thanks for your quick reply, I found that it may caused by the idea compiler option. I can work now after disable it. reference: . can you help make a check ? You can also refer to some information. I test by rm -rf flink-test-utils-parent/flink-test-utils-junit/target and run test with release  option enable it can reproduce the sun.misc not exist. Regarding the previous ticket to change the target to 8 , I think it make sense to support flink still run on jdk8, but can we support jdk11 bytecode default, and give an opt to let user to build a target 8 (because build with jdk11 produce jdk11 bytecode is the standard way, jdk11 target 8 is the compatible way ). I think, In this way this problem will disappear&gt; can we support jdk11 bytecode default. No. We had that before and it slowed down development. Since Java8 bytecode is the canonical form of Flink releases at this time it makes sense in any case to always build Java8 bytecode. If you want to build Java11 bytecode, then you can activate the java11-target profile.Get it, thanks for explanation   . May be I met the problem because I have develop with jdk11, and it conflicts with the --release flag when run test in IDE. Do we need to add the note to doc that when we use jdk11 as project SDK, we should disable --release compiler to run test in IDE.We should actually look into why things don't work with the --release flag, because that is the correct way to build for an older Java version.Ah, you can't use --release with --add-exports, which we unfortunately still need.Sure we can document it here.The reason can refer to JEP-247. I can do a favor to open a PR for this. master ",1
"Update testcontainers dependency to v1.16.2 Fixed in master: Fixed in release Can we also backport the change to the release-1.13 branch? We are also hitting the container did no start problem I'll create the backport is there, let's wait for the CI to turn greenMerged: release",1
"Update testcontainers dependency to v1.16.2Fixed in master: Fixed in release-1.14: Can we also backport the change to the release-1.13 branch? We are also hitting the container did no start problem I'll create the backport is there, let's wait for the CI to turn greenMerged:",1
Update Cython to the latest versionMerged to master via ,1
Update japicmp jaxb dependenciesmaster: Reverted in .Updated dependencies are not compatible with the current version of the japicmp plugin.,1
Remove flink-runtime-web dependency from flink-testsmaster: ,1
Update Postgres test dependencies to Fixed in master: ,1
Update AVRO dependency to latest versio    ,1
Update multiple Jackson dependencies to Fixed in master ,1
Move scalastyle execution to validation phasemaster ,1
Update Presto Hadoop dependency to latest versionMerged in master ,1
"Elasticsearch6DynamicSinkITCase.testWritingDocuments fails when submitting jobTest debug build here: This issue is assigned but has not received an update in 7 days so it has been labeled ""stale-assigned"". If you are still working on the issue, please give an update and remove the label. If you are no longer working on the issue, please unassign so someone else may work on it. In 7 days the issue will be automatically unassigned. This issue was marked ""stale-assigned"" 7 ago and has not received an update. I have automatically removed the current assignee from the issue so others in the community may pick it up. If you are still working on this ticket, please ask a committer to reassign you and provide an update about your current status.I am the Flink Jira Bot and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 30 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.This issue was labeled ""stale-major"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion. Looking at this test failure two things are interesting:

1) The tests don't configure a parallelism. That's why we run a job with a parallelism of 32. This slows down the execution.
2) The execution is not super fast on the CI infrastructure. That's why we run into the 10s akka.ask.timeout.

I would suggest two things:

1) Configuring a lower parallelism to reduce the complexity of the test.
2) Set a higher default akka.ask.timeout when using the MiniCluster. This should also solve a lot of other test instabilities that are caused by timeouts due to slow CI infrastructure.For the 2) point I've created FLINK-23906.,1
Java 11 profile should target JDK 8master:,1
""flink-rpc-akka uses wrong Scala version property for parser-combinatorsmaster:",1
Build archetype jars in compile phasemaster:,1
flink-yarn-tests should copy examples after package phasemaster:,1
flink-rpc-akka-loader does not bundle flink-rpc-akkaThe PR didn't get linked with this issue for some reason. Here it is ,1
"Bump Testcontainers to 1.16.0Most probably could be fixed via FLINK-22386 Exactly. Thanks for the pointer. I wasn't aware of. I am the Flink Jira Bot and I help the community manage its development. I see this issues has been marked as Critical but is unassigned and neither itself nor its Sub-Tasks have been updated for 14 days. I have gone ahead and marked it ""stale-critical"". If this ticket is critical, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.This issue was labeled ""stale-critical"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Critical, please raise the priority and ask a committer to assign you the issue or revive the public discussion. Shall we back port this to 1.13/1.12? We are having instabilities due to the same problem there. I'll look into it",1
Migrate to flink-shaded-force-shadingmaster:,1
"FallbackAkkaRpcSystemLoader should check for maven errorsFrom the error msg, it seems caused by classloader problem. If I execute the mvn package -pl flink-rpc/flink-rpc-akka,flink-rpc/flink-rpc-akka-loader to generate flink-rpc-akka.jar , the test will passed.More information about local debug the two case:

Debugging this case, I found that the new created submodule classloader only contains the dependency of flink-rpc-akka.jar, which does not contain RpcSystem.class. In the phase of loadClass of AkkaRpcSystem, it will try to load it's parent class, then fails with ClassNotFoundException using submodule classloader, because the RpcSystem.class is not in flink-rpc-akka.jar. Then it will be loaded by ownerClassLoader (AppClassLoader) successfully.

After that loaded inherited from It can pass when check I am a little confused here about how does two class loaded by different classloader can work with isAssignableFrom, but it works. please give me some hints, if you have idea    .

2. add a test dependency on the flink-rpc-akka-loader test-jar.

It adds the flink-rpc-core to Submodule classloader classpath, so when load AkkaPrcSystem, it will reload the RpcSystem with SubmoduleClassloader, which lead to the *not a subtype* exception above.

BTW, the case fails here 

Finally, It turns out that it's my fault lead to this (I change the workingDirectory to the parent dir) before copy-dependencies, so it add more unrelated jar to submodule classpath  

But I still have two concerns here.

1. It's default use the mvn command to execute, I have an alias for this, so I encountered this problem, may be we could add a check exitcode after execute copy-dependencies ?
  
 2. Why use copy-dependencies instead of mvn clean package to build a fat jar?

Please take a look when you are free cc  

 1) yes, we can make it more obvious why it failed.

2) because copy-dependencies is the simpler approach. package could fail due to various plugin checks (which we could disable), would run tests (which we could disable), and has no side-effects on the currently compiled code.Thanks for your detail explanation. I think I can volunteer to add more information when downloadDependencies failed. I have created the pull request, please help review when you are free. master ",1
Move RPC System packaging to package phasemaster,1
"Upgrade Confluent Platform OSS version in end-to-end testsWhy is it a problem to use the 2.11 version?We're using the 2.11 version of Confluent Platform but are testing with the 2.12 Kafka distribution""

And why is that a problem?Isn't it better to use the same Scala version for multiple components in an integration test? It depends. This is only a concern if they are put on the same classpath (not the case) or expose Scala details in the API (AFAIK also not the case).

I can't think of another case where we'd want to align the Scala versions.OK. I think we still have to upgrade the Confluent Platform version, because we're using version 5.0.0 which doesn't support Kafka 2.2.x according to, while we do use that Kafka version in the test.

Version 5.2.x has both a 2.11 and 2.12 version, so there's a choice to make. master: ",1
"Upgrade KryoSerializer snapshot to implement new TypeSerializerSnapshot interfaceThis issue is assigned but has not received an update in 7 days so it has been labeled ""stale-assigned"". If you are still working on the issue, please give an update and remove the label. If you are no longer working on the issue, please unassign so someone else may work on it. In 7 days the issue will be automatically unassigned.As part of the ""Task"" Issue Type is removed. I moved this ticket to ""Technical Debt"", but did not look at it in detail. I have automatically removed the current assignee from the issue so others in the community may pick it up. If you are still working on this ticket, please ask a committer to reassign you and provide an update about your current status.I am the Flink Jira Bot and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 30 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.This issue was labeled ""stale-major"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion.",1
Add a fallback AkkaRpcSystemLoader for tests in the IDEmaster:,1
